dt_ts,NEE,ET,LE,H,SWin,SWout,LWin,LWout,TA1,TA2,RH1,RH2
2025-06-01 00:00:00,-0.48381766498216155,0.031441321122995095,0.8980747642937573,-8.574824597715793,-3.391666,0.003333333,279.7833,356.8933,12.75,9.841414666666669,55.66,70.02750000000002
2025-06-01 00:30:00,-2.9582177668046428,0.10021656827446888,2.86225448915878,-15.516452307855934,-3.226666,0.1166667,278.9233,358.8433,13.05,11.016962499999998,55.43,65.28583333333333
2025-06-01 01:00:00,-3.675447599031887,0.35763481829549343,10.212909350273767,-31.34406689406644,-3.378333,0.025,276.5533,358.4183,12.93,11.161204166666666,56.62,65.93833333333333
2025-06-01 01:30:00,-1.0403781595980512,0.11907298128688908,3.3965318117022596,-10.803720990153739,-4.215,0.355,274.755,352.5367,11.47,9.16518175,62.5,78.87916666666668
2025-06-01 02:00:00,1.5946912798357844,-0.11948885572171525,-3.4198457268692475,9.73662491375896,-3.053333,-0.07,272.92,348.2517,10.07,7.300817916666666,70.05,86.58333333333333
2025-06-01 02:30:00,-3.065445158619369,-0.1304831678727799,-3.737807095459889,-6.783168017162508,-3.135,-0.05166667,269.7333,345.5733,8.84,6.81388325,76.43,88.90833333333335
2025-06-01 03:00:00,-7.725581597074522,-0.14147748002384455,-4.05576846405053,-23.302960948083978,-3.62,-0.115,267.9967,344.0966,9.07,6.510446083333334,74.34,88.85833333333333
2025-06-01 03:30:00,-12.385718035529676,-0.35583586201383505,-10.200116863315674,-39.82275387900545,-3.061666,0.2633333,267.3416,346.9066,9.35,7.3364745,77.46,87.925
2025-06-01 04:00:00,-2.161565788627453,-0.23358471424490831,-6.696750808699408,-12.891377216456068,-3.298333,0.08333333,266.5966,345.5283,8.75,7.287024666666665,78.16,86.49166666666667
2025-06-01 04:30:00,-2.9435621884575713,-0.11133356647598155,-3.19338475408314,-3.3225817172366363,3.73,0.9883333,266.3,341.8333,8.14,5.790058500000001,81.2,91.66666666666669
2025-06-01 05:00:00,11.743582273795752,0.05407547333174381,1.552154473723648,14.732705280219864,29.11667,4.445,264.3466,341.68,7.014,5.485496416666667,87.9,93.64166666666664
2025-06-01 05:30:00,10.935328173010772,0.11921622641450019,3.4234066674582726,10.376482082275958,89.925,14.98833,264.1883,349.1416,7.657,6.727348416666668,85.6,95.15000000000002
2025-06-01 06:00:00,0.33612536437990453,0.3205125685686615,9.192750623463482,-0.2934800752083339,171.7467,26.375,332.175,359.7166,9.19,9.806691166666669,77.4,78.52583333333334
2025-06-01 06:30:00,2.7316173203685197,1.107172821608782,31.733113543851275,18.84874281307949,240.5016,42.31667,261.7433,366.605,9.9,10.8642325,72.75,71.14916666666669
2025-06-01 07:00:00,4.496313509036234,1.5166019222912963,43.44116933336349,35.10204406300354,327.2516,56.335,279.495,378.9617,10.85,12.226224999999998,64.8,62.045
2025-06-01 07:30:00,8.106346540268781,1.8135554579439512,51.91259942749427,90.465231182477,414.6917,69.31667,264.1717,389.98,11.87,13.209751666666667,61.36,60.15333333333333
