file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,fast_t_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--
agrivoltaics2_ts_data_2025_12_25_0000.dat,2025-12-25,00:30,359.020,0,18000,18000,8.8931594848804321E-003,0,-5.2339254561534183,0,1.1979816387133024,0,1.0414279420727732,1,2.6753965204167850E-002,0,-9999.0,-9999.0,-9999.0,-9999.0,-1.0744756939097741E-011,-1.4760281384495441E-013,18.789960868093697,441.70885905688897,444.40544035233603,0.0000000000000000,0,258.12134345033439,6.0678404236211554,6.1048838848390954,0.0000000000000000,0,280.12064592149522,279.58217849433078,99070.625550347235,1.2316829635722075,1008.5281715840224,2.3507705106876137E-002,1.7336569452300766E-003,4.6513466886705223E-003,600.14789362261354,960.65575923510926,3.7764155438022640E-003,62.472731553752581,360.50786561249572,272.90351566666709,0.13159345955329615,0.85699389973075379,-3.2042749066857182E-002,0.86763017498281170,4.6932390834067653E-014,-5.7183498222941386E-016,0.86763017498281170,1.8180153395878587,278.72971914607911,81.270280853920923,-2.1164914916072783,-9999.0,8.4972534681449663E-002,8.7748100340249449E-002,10.148726122856266,0.68974173854540022,-4.3689529847677298,-4.9586332854735342E-002,1,55.765749843563320,24.000000000000000,53.000000000000000,114.00000000000000,223.00000000000000,513.00000000000000,2533.0000000000000,8.8021655148305608E-003,1.0103376799602959,-5.0779735955327618,1.0172567608594552,1.3270148790384264,1.0285586466972076,1.2763563595704519,1.0285586466972076,2.9635604379829338E-002,1.0285586466972076,800000099,800000099,800000099,800000199,800000099,800100099,899999999,899999999,89999,89999,89,89,3,0,2,5,8,40,5.5910295621223738E-002,0.10844949816145867,1.1136406897816505E-002,2.4350664181285203E-002,4.5233282776138443E-003,1.9418820500272245,-4.0879301824316341E-003,1.2763563595704519E-003,2.9635604379829338E-002,3.8251120983759672
agrivoltaics2_ts_data_2025_12_25_0030.dat,2025-12-25,01:00,359.041,0,18000,18000,3.3148313452236469E-002,0,-5.1923612454125481,0,1.4698818550656447,0,0.89744487163602193,0,3.2834651646019411E-002,0,1.6769513926073958,-0.19539538138155857,-0.24087464906981201,-4.3647992924016714E-003,4.2461806023239074E-011,5.8282707059557270E-013,18.719098778459756,440.57502055764888,443.25551723610795,0.0000000000000000,0,256.93672801547564,6.0472945608734880,6.0840868260445093,0.0000000000000000,0,280.38966855706110,279.85250616935315,99046.034701388882,1.2301972853274707,1008.5215825015044,2.3536123494610903E-002,2.1276854266620579E-003,4.6299999181686150E-003,597.97122456476598,978.70471281582661,3.7636239108885194E-003,61.098226741377978,380.73348825106063,272.85360203186860,-5.9213618161866384E-002,1.5064972280906386,-8.4913419861941092E-002,1.5100498136462810,1.8221702369203287E-014,2.2683680729384404E-015,1.5100498136462810,3.6359277826331571,267.74911973439521,92.250880265604778,-3.2235679858140038,-9999.0,0.16415092573265816,0.20025753143633601,73.738109293748224,9.4930559883415463E-002,-3.5325024440012953,-2.5495386645007119E-002,1,43.564356887425191,19.000000000000000,40.000000000000000,82.000000000000000,154.00000000000000,332.00000000000000,1418.0000000000000,3.2917370129699162E-002,1.0070158497360924,-5.0665628768720374,1.0081608400973734,1.6104747781319071,1.0139977222934782,1.1468872438535396,1.0139977222934782,3.5975257564016927E-002,1.0139977222934782,800000099,800000099,800000099,800000199,800000099,800000199,899999999,899999999,89999,89999,89,89,3,2,2,3,21,27,0.21273823784163451,0.15392033162737301,3.3856493403664464E-002,6.8758726506934001E-003,9.3949383345771724E-004,2.4232911548777456,-4.0836966679455048E-003,1.1468872438535397E-003,3.5975257564016927E-002,4.1224510748386400
agrivoltaics2_ts_data_2025_12_25_0100.dat,2025-12-25,01:30,359.062,0,17988,17988,4.0005385782347788E-002,1,-6.4118154682717110,1,4.8136376083882713,2,-0.77051476622719850,2,0.10751383613096718,2,-0.88441881267639777,0.79028314158066981,5.9806249117988139E-002,1.7651177569517739E-002,-2.1443151975385618E-010,-2.9817726147384990E-012,18.745525432475969,440.85632150204839,443.57558066412304,0.0000000000000000,0,260.66547701383683,6.1303175391290372,6.1681301354822144,0.0000000000000000,0,280.25431421138671,279.71005165467335,99074.724304049916,1.2311418726040737,1008.5644307110642,2.3517949554952469E-002,6.9668965812866735E-003,4.6971919762703431E-003,606.34030939608897,969.15484459061906,3.8153133126200851E-003,62.563821744317167,362.81453519453009,273.04464320042280,-0.20562139195693269,0.77468483920057307,-8.4610208757220674E-003,0.80155370736593723,-8.4622835233682003E-016,-1.1439077582875381E-014,0.80155370736593723,2.2425244830256350,255.13497626330690,104.86502373669308,-0.60481260991195351,-9999.0,0.18026241296672715,0.19461690095530673,79.096288205877869,8.8499728100765798E-002,-1.3320104232812304,-2.8646006396126519E-002,1,13.421175181690552,6.0000000000000000,12.000000000000000,25.000000000000000,45.000000000000000,95.000000000000000,380.00000000000000,3.9572388253403375E-002,1.0109419104596795,-6.0762216658200172,1.0097266467470523,4.9234076233091661,1.0154824411480308,-0.46457093587834924,1.0154824411480308,0.10996557769450593,1.0154824411480308,800000099,800000099,800000099,800000199,800000099,800000099,899999999,899999999,89999,89999,89,89,8,3,0,0,39,26,0.27144823320682077,9.4100831389339876E-002,2.3684737314452812E-002,7.8056655624930216E-003,2.8558479907894114E-003,17.714269155173145,-4.8935255338579996E-003,-4.6457093587834924E-004,0.10996557769450593,3.9762884047340274
agrivoltaics2_ts_data_2025_12_25_0130.dat,2025-12-25,02:00,359.083,0,18000,18000,1.5860652555122472E-002,1,-8.6918056186969128,1,-1.6057157946413396,2,1.4326412220054305,1,-3.5849777913258572E-002,2,-2.6001686962301482,3.0034433846644726,0.22885142314022497,6.7055937716124461E-002,2.7581332531981982E-011,4.0225333035928408E-013,18.819841438452414,441.93109608900295,444.79792461805613,0.0000000000000000,0,274.47346449534075,6.4452380966365110,6.4870486698582166,0.0000000000000000,0,279.86331354268384,279.29193636098057,99087.162207465284,1.2329936467628626,1008.7292843278011,2.3482190194549463E-002,-2.3230656087791552E-003,4.9460119149502876E-003,637.50476985672708,941.59666983879629,4.0113847528214690E-003,67.704654261985596,304.09189998206921,273.73608334811945,-0.50630434117542733,-5.0343198584323200E-002,6.1385057124578930E-002,0.51249063286558971,1.9454339569503884E-014,1.4655454256712397E-015,0.51249063286558971,1.5295164477039904,174.32159175932668,185.67840824067324,6.8792853380243955,-9999.0,0.11341750945906173,6.9924175551427936E-002,14.534842857397511,0.48160135397936887,5.4130411170541892,-6.1616131927644140E-002,1,11.610764830592586,5.0000000000000000,11.000000000000000,22.000000000000000,42.000000000000000,91.000000000000000,393.00000000000000,1.5672124451099490E-002,1.0120295180536136,-8.6456959519880829,1.0159566501382458,-1.2553674932669094,1.0258167851741908,1.8710539939949733,1.0258167851741908,-2.8027778006129211E-002,1.0258167851741908,800000099,800000099,800000099,800000199,800000099,800000099,899999999,899999999,89999,89999,89,89,0,0,0,2,18,7,4.7590943182278411E-002,7.7094372343766357E-002,1.5163035576811097E-002,3.6987551196198731E-002,6.8678664082145137E-003,9.4757856528151354,-6.9512753295296204E-003,1.8710539939949733E-003,-2.8027778006129211E-002,3.6037724850177817
agrivoltaics2_ts_data_2025_12_25_0200.dat,2025-12-25,02:30,359.104,0,18000,18000,5.6839237252188098E-002,1,-0.72379479813266645,1,5.0432533814646190,1,0.27729458533272006,2,0.11253787814995483,1,-3.4591047416907217,-0.30868397313948376,0.21702234349033953,-6.8881407949260426E-003,-2.2756928340451266E-011,-3.2947178102519623E-013,18.898079687277477,442.94843372995041,445.80737345483493,0.0000000000000000,0,273.60388358985034,6.4129484955100908,6.4543398445054230,0.0000000000000000,0,279.30409880065918,278.73671539689906,99072.206328559027,1.2352782009951004,1008.7024483343525,2.3438806538007732E-002,7.2924545041170730E-003,4.9303420667648661E-003,634.22174933295560,906.08226990323817,3.9912807194307657E-003,69.996044553513343,271.86052057028257,273.66467191941365,0.24122937474591161,4.6956999982629269E-002,2.8771001570207025E-002,0.24743553022758843,7.3712498031721612E-014,-1.2041926331685242E-015,0.24743553022758843,1.4545246152522771,348.98472165017148,11.015278349828529,6.6772720382907904,-9999.0,0.21450712983046141,0.14614727787364606,1180.6921611388022,5.9287257342746768E-003,-0.14351743673891476,-2.7079826230406866E-003,0,156.76223901814512,-23.789274563592343,53.811403836132079,133.99800412880302,204.35541106245898,286.61136967698360,429.39605920572961,5.4610113258258118E-002,1.0408188861170855,-0.42582053084429383,1.0216041910851932,4.9074170827139181,1.0263083704604374,0.26007923243414277,1.0263083704604374,0.10950675365929761,1.0263083704604374,800000099,800000099,800000099,800000199,800000099,800001099,899999999,899999999,89999,89999,89,89,0,0,0,2,8,19,0.14349335658016987,0.13916998862724161,9.6312105398806188E-003,2.4562169305611021E-002,2.2275965338728540E-003,6.9062635185352521,-3.4174230518604134E-004,2.6007923243414276E-004,0.10950675365929761,3.0155027736557880
agrivoltaics2_ts_data_2025_12_25_0230.dat,2025-12-25,03:00,359.124,0,17987,17987,4.5016052540554657E-002,1,-4.3924626391680617,1,-0.41781098236104491,2,1.8089296384902089,1,-9.3219980805884922E-003,2,-0.88527570064059313,0.85977272084837164,-1.9774474968232467E-002,1.9182836239007715E-002,-1.6779270739917657E-010,-2.4638435126849590E-012,18.903103503257302,442.85578076163642,445.75444585528493,0.0000000000000000,0,277.57040015638597,6.5028293505558219,6.5453929237714430,0.0000000000000000,0,279.16973859138341,278.59469309048262,99071.594853444505,1.2358585062550054,1008.7492550975492,2.3427675814467471E-002,-6.0406547562213422E-004,5.0018186965185077E-003,643.08834011060924,897.18790029556556,4.0472421973898999E-003,71.678222577316646,254.09956018495632,273.85679128863097,-0.41567078122467443,-0.57009902244882082,0.10025872340454539,0.71263378068951666,1.1240237520779438E-013,-8.8764634532241361E-015,0.71263378068951666,2.3756867261440964,126.09655020697483,233.90344979302517,8.0876355924098604,-9999.0,0.19085314852998123,0.27470817748332554,137.03149817464470,5.1083145796732073E-002,10.513037772119601,-1.8461065752212534E-002,1,10.290483835261204,4.0000000000000000,9.0000000000000000,18.000000000000000,33.000000000000000,67.000000000000000,254.00000000000000,4.4440078060754902E-002,1.0129606991016606,-4.3722987302225285,1.0100831046848615,-0.25385907328614898,1.0153800522875882,2.0210318177701390,1.0153800522875882,-5.6639817855924680E-003,1.0153800522875882,800000099,800000099,800000099,800000199,800000099,800101099,899999999,899999999,89999,89999,89,89,3,3,0,0,0,14,0.48258049819339582,5.1583249014633618E-002,1.5252607758621658E-002,2.5941539915661931E-002,3.5916695036346917E-003,1.0692907542588836,-3.5071783262464080E-003,2.0210318177701389E-003,-5.6639817855924680E-003,2.8885147989628108
agrivoltaics2_ts_data_2025_12_25_0300.dat,2025-12-25,03:30,359.145,0,18000,18000,1.2883950405295167E-002,0,-3.7440236762108809,0,-2.9213749531204649,0,0.81144422791956705,0,-6.5160355429468270E-002,0,-2.0060203720997127,0.30429281173021644,-6.4207524460475923E-002,6.7871560772416739E-003,9.9939171921539133E-011,1.4756624982658088E-012,18.910281095769665,442.55525575577070,445.46619775188549,0.0000000000000000,0,279.22177168528214,6.5345968129687391,6.5775786373695455,0.0000000000000000,0,278.85040556674528,278.27321657968076,99063.069917100685,1.2371649872806683,1008.7614290176672,2.3402891449073846E-002,-4.2223910318295440E-003,5.0315764119790813E-003,646.16780076519797,877.34302604389438,4.0670213461493614E-003,73.650531386667623,231.17522527869642,273.92296788266742,-0.19786357441833582,-0.43722307026488855,8.1760113616007088E-002,0.48682514667174054,2.1372104967121029E-014,5.2849120230103868E-015,0.48682514667174054,1.8892682407001011,114.34894197091603,245.65105802908400,9.6683900159756249,-9999.0,0.10204946021538472,9.9241933048060976E-002,24.575219881066147,0.28483977086988810,1.2815964182248172,-2.9397593864233174E-002,1,13.785905811607144,6.0000000000000000,13.000000000000000,26.000000000000000,50.000000000000000,110.00000000000000,482.00000000000000,1.2721609158226930E-002,1.0127610623034471,-3.8568995816027503,1.0138772893613970,-2.7075877292234325,1.0220762988702654,1.0215429664706099,1.0220762988702654,-6.0391898206772439E-002,1.0220762988702654,800000099,800000099,800000099,800000199,800100199,800100199,899999999,899999999,89999,89999,89,89,8,0,2,1,3,15,0.13191306777987380,5.0728809209461809E-002,1.5841989106786369E-002,2.7342616111063832E-002,4.3243225869525979E-003,13.256846404186824,-3.0904537093733152E-003,1.0215429664706100E-003,-6.0391898206772439E-002,2.6398371913167957
agrivoltaics2_ts_data_2025_12_25_0330.dat,2025-12-25,04:00,359.166,0,18000,18000,9.3504385846037277E-002,0,-6.6434500414559690,0,-47.082403387702627,1,7.1709272799556070,2,-1.0500391407480154,1,-0.74353215657829885,-15.738709314629011,4.0017429215279057,-0.35100716225400458,-3.0514600035173596E-010,-3.2371892561912262E-012,19.730369926876552,461.26597795350989,463.53424223237289,0.0000000000000000,0,209.31272726609697,4.8934125512261408,4.9174757889722480,0.0000000000000000,0,278.58609025404189,278.15409127773893,99072.529949218748,1.2385779414799778,1007.8650745152286,2.3378475906079037E-002,-6.8042536320471400E-002,3.7718154099608031E-003,484.17965717239088,870.12071948127709,3.0452790120368669E-003,55.645112951802233,385.94106230888622,269.98898394989067,-0.44798242804972410,-0.76394838396024933,0.11616645130352472,0.89319652574637787,6.7713002739182794E-015,-1.5465802287673712E-014,0.89319652574637787,3.1658065349702063,120.38753245140094,239.61246754859903,7.4728855414149944,-9999.0,0.27476051418669700,0.40109373938150306,270.26199764605417,2.5900792789844904E-002,0.14110261081513015,-1.9369286185161080E-002,0,77.395452456227332,-11.745058503799081,26.567354314964469,66.156468692563848,100.89278897851557,141.50357110350777,211.99813483974089,9.2467431027400931E-002,1.0112142708747804,-9.2473125483382006,1.0089935562261168,-46.025845888738772,1.0140553591537078,7.9207838582112737,1.0140553591537078,-1.0264756297856021,1.0140553591537078,800000099,800000099,800000099,800000199,800000099,800001099,899999999,899999999,89999,89999,89,89,2,0,0,14,1,0,0.51665526783346205,0.19327058803958985,9.2261622889954167E-002,7.3145990979920856E-003,0.11159297727170397,772.31622355743389,-7.4078093981891375E-003,7.9207838582112736E-003,-1.0264756297856021,2.3680433262454148
agrivoltaics2_ts_data_2025_12_25_0400.dat,2025-12-25,04:30,359.187,0,18000,18000,5.9575082242188963E-003,0,-2.1139232679913733,0,-0.98596738765008229,2,-3.0255129810509032,1,-2.1985544457842558E-002,2,-1.0903196078213768,2.8764099934577159,-1.4324111502046863,6.4139484309790148E-002,-3.4547729806562160E-011,-3.9467591600652409E-013,19.458583117644004,454.57351800333674,456.94647887915676,0.0000000000000000,0,222.29634650802691,5.1930827471099770,5.2201916342222638,0.0000000000000000,0,278.43773476748999,277.97955985891394,99093.506003472226,1.2394780958538407,1008.0250912054181,2.3361080056808130E-002,-1.4246632808681977E-003,4.0057802327090998E-003,513.89040066402754,859.58261216294227,3.2318281751882298E-003,59.783712861634129,345.69221149891473,270.79025143396990,-0.12120914271549166,-0.54657385777952538,6.0988623899256335E-002,0.56316449686646930,4.8446232564879901E-015,-1.7754494043934847E-015,0.56316449686646930,1.6461864576018170,102.50366045617494,257.49633954382506,6.2171132740731867,-9999.0,6.9328674525937412E-002,6.1545940550455848E-002,13.647425881156012,0.51291723882270035,2.1440093196486130,-2.4404286968004760E-002,1,36.461854277536347,16.000000000000000,35.000000000000000,73.000000000000000,142.00000000000000,324.00000000000000,1552.0000000000000,5.8895515660741414E-003,1.0115385114439288,-2.1353824382920110,1.0161652511525676,-0.89656471316247865,1.0263371841470068,-2.8227558383480762,1.0263371841470068,-1.9992003394296944E-002,1.0263371841470068,800000099,800000099,800000099,800000199,800000099,800000199,899999999,899999999,89999,89999,89,89,7,2,0,11,1,1,6.9062690297152923E-002,4.2322494488876282E-002,1.1706696314882485E-002,4.4981898261860099E-003,3.4638255340235340E-002,94.682608089417755,-1.7090921048083833E-003,-2.8227558383480760E-003,-1.9992003394296944E-002,2.2930212785005550
