"TOA5","agrivoltaics2","CR6","9170","CR6.Std.14.01","CPU:agrivoltaics2_irgason_apogee_v1_1_00.cr6","44109","ts_data"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","diag_sonic","CO2","H2O","diag_irga","amb_tmpr","amb_press","CO2_sig_strgth","H2O_sig_strgth"
"TS","RN","m/s","m/s","m/s","C","arb","mg/m^3","g/m^3","arb","C","kPa","fraction","fraction"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-04-01 11:30:03.5",49857264,-1.485157,1.001757,0.1594484,4.814286,0,809.0802,3.531904,0,1.730713,99.50555,0.9590586,0.939296
"2026-04-01 11:30:03.6",49857265,-1.905714,1.099136,0.1796294,4.803913,0,809.2581,3.531211,0,1.730164,99.50339,0.9590538,0.9392585
"2026-04-01 11:30:03.7",49857266,-1.98173,1.440433,-0.2803647,4.817208,0,809.1722,3.519147,0,1.730164,99.50282,0.9590287,0.9392333
"2026-04-01 11:30:03.8",49857267,-1.26117,2.201347,0.1354269,4.855231,0,809.282,3.528241,0,1.730164,99.50407,0.9590229,0.93926
"2026-04-01 11:30:03.9",49857268,-1.511517,2.009638,-0.8545646,4.802127,0,809.1992,3.526408,0,1.730164,99.50465,0.9590009,0.9392404
"2026-04-01 11:30:04",49857269,-1.153045,1.818745,-1.103576,4.796597,0,809.1844,3.522599,0,1.730164,99.50375,0.9590494,0.9392773
"2026-04-01 11:30:04.1",49857270,-1.312086,1.356936,-0.7225351,4.752872,0,809.5375,3.552657,0,1.730164,99.50502,0.959089,0.9393066
"2026-04-01 11:30:04.2",49857271,-1.285189,1.177147,-0.1850802,4.81785,0,809.4525,3.556146,0,1.730164,99.50446,0.9590409,0.9392605
"2026-04-01 11:30:04.3",49857272,-1.0737,1.532622,0.1988745,4.802199,0,809.6287,3.553271,0,1.730164,99.50287,0.9590678,0.9392528
"2026-04-01 11:30:04.4",49857273,-1.077447,1.34625,0.412389,4.792853,0,809.387,3.553936,0,1.730164,99.50428,0.9590376,0.9392702
"2026-04-01 11:30:04.5",49857274,-0.7043141,1.522331,0.7208329,4.775545,0,809.5436,3.551783,0,1.730164,99.50663,0.9590334,0.9392397
"2026-04-01 11:30:04.6",49857275,-0.1916712,1.129192,0.9899768,4.811405,0,809.2814,3.539536,0,1.729889,99.50413,0.9590356,0.9392442
"2026-04-01 11:30:04.7",49857276,-0.4067464,1.622815,0.3850051,4.789996,0,809.5019,3.550641,0,1.729889,99.50385,0.9590996,0.9393291
"2026-04-01 11:30:04.8",49857277,-0.9160141,0.8798696,0.8927794,4.801149,0,809.4083,3.552034,0,1.729889,99.50336,0.9590623,0.939283
"2026-04-01 11:30:04.9",49857278,-0.9321617,0.5058964,0.5874075,4.786086,0,809.5116,3.547166,0,1.729889,99.5041,0.9590677,0.9392574
"2026-04-01 11:30:05",49857279,-0.9659215,0.13161,0.7709442,4.795491,0,809.4316,3.552413,0,1.729889,99.50344,0.959082,0.9392768
"2026-04-01 11:30:05.1",49857280,-1.384846,-0.04613339,1.035032,4.819929,0,809.573,3.557679,0,1.729889,99.50654,0.9590431,0.9392643
"2026-04-01 11:30:05.2",49857281,-1.509373,0.601831,1.077157,4.810618,0,809.6243,3.559527,0,1.729889,99.50429,0.9590559,0.939268
"2026-04-01 11:30:05.3",49857282,-1.506921,0.6644173,0.5535334,4.805243,0,809.6055,3.563956,0,1.729889,99.50366,0.9590878,0.9393022
"2026-04-01 11:30:05.4",49857283,-1.642054,0.09135056,0.5705382,4.796607,0,809.5502,3.561836,0,1.729889,99.50402,0.9590487,0.9392586
"2026-04-01 11:30:05.5",49857284,-1.622728,0.2465492,0.4641575,4.825955,0,809.591,3.556886,0,1.729889,99.50213,0.9590806,0.9392775
"2026-04-01 11:30:05.6",49857285,-1.138859,-0.08300541,0.3816303,4.793403,0,809.471,3.553998,0,1.729675,99.50521,0.9590877,0.9392741
"2026-04-01 11:30:05.7",49857286,-1.262558,0.002148391,0.1390641,4.80767,0,809.623,3.55996,0,1.729675,99.50349,0.9590372,0.939267
"2026-04-01 11:30:05.8",49857287,-1.347683,0.08073633,0.1189068,4.815908,0,809.5788,3.556799,0,1.729675,99.50371,0.9590723,0.9392717
"2026-04-01 11:30:05.9",49857288,-1.123929,0.01936517,0.1000661,4.80753,0,809.3323,3.559428,0,1.729675,99.50432,0.9590237,0.9392536
"2026-04-01 11:30:06",49857289,-1.345551,0.444571,0.1923305,4.82482,0,809.7413,3.559809,0,1.729675,99.5041,0.9590431,0.9392868
"2026-04-01 11:30:06.1",49857290,-0.934143,0.1686928,0.1911092,4.823345,0,809.4062,3.556421,0,1.729675,99.50349,0.9590683,0.9392802
"2026-04-01 11:30:06.2",49857291,-1.117508,0.1468595,0.3171476,4.806921,0,809.7079,3.556057,0,1.729675,99.50444,0.9590924,0.9392812
"2026-04-01 11:30:06.3",49857292,-1.316509,0.4088776,0.1650277,4.82586,0,809.5726,3.562652,0,1.729675,99.50587,0.959067,0.9392723
"2026-04-01 11:30:06.4",49857293,-1.278429,0.2533161,0.4270652,4.767587,0,809.3849,3.560795,0,1.729675,99.5063,0.9590609,0.9392554
"2026-04-01 11:30:06.5",49857294,-1.630347,0.5024469,0.2866674,4.796576,0,809.5915,3.576296,0,1.729675,99.50357,0.9590591,0.9392678
"2026-04-01 11:30:06.6",49857295,-1.657661,0.402054,-0.0006476909,4.779098,0,809.5964,3.575445,0,1.72934,99.50311,0.9590458,0.9392529
"2026-04-01 11:30:06.7",49857296,-1.726261,0.8827479,0.1247701,4.787324,0,809.4927,3.568548,0,1.72934,99.50513,0.9590486,0.9392625
"2026-04-01 11:30:06.8",49857297,-1.431403,0.4759029,-0.1692084,4.776596,0,809.5735,3.573085,0,1.72934,99.50616,0.9590503,0.9392942
"2026-04-01 11:30:06.9",49857298,-1.814191,0.6818766,0.4506101,4.844405,0,809.6143,3.56651,0,1.72934,99.50578,0.9590545,0.9392814
"2026-04-01 11:30:07",49857299,-1.338895,0.6138247,0.1655558,4.807154,0,809.5144,3.56775,0,1.72934,99.50469,0.9590748,0.9392793
