"TOA5","agrivoltaics2","CR6","9170","CR6.Std.14.01","CPU:agrivoltaics2_irgason_apogee_v1_1_00.cr6","44109","ts_data"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","diag_sonic","CO2","H2O","diag_irga","amb_tmpr","amb_press","CO2_sig_strgth","H2O_sig_strgth"
"TS","RN","m/s","m/s","m/s","C","arb","mg/m^3","g/m^3","arb","C","kPa","fraction","fraction"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-04-01 01:30:03.4",49497263,-1.228454,-0.2448878,0.1354512,15.11413,0,786.3295,5.187445,0,11.44138,98.72664,0.9607541,0.9402931
"2026-04-01 01:30:03.5",49497264,-1.332022,-0.1653645,0.1775467,15.15065,0,786.5667,5.188281,0,11.44138,98.72804,0.9607673,0.9402888
"2026-04-01 01:30:03.6",49497265,-1.342506,-0.1399625,0.197813,15.09171,0,786.5875,5.188424,0,11.44138,98.72894,0.9607595,0.9402933
"2026-04-01 01:30:03.7",49497266,-1.496746,0.0578706,9.92585E-05,15.10822,0,786.8812,5.192337,0,11.44138,98.72722,0.9607655,0.9402871
"2026-04-01 01:30:03.8",49497267,-1.193741,0.05068726,0.2479523,15.04724,0,786.7511,5.182743,0,11.44421,98.72742,0.9607651,0.9402676
"2026-04-01 01:30:03.9",49497268,-1.469184,-0.1702631,-0.09844302,15.1142,0,786.6881,5.184787,0,11.44421,98.72767,0.9607602,0.9402685
"2026-04-01 01:30:04",49497269,-1.623921,-0.3150742,0.353075,15.04767,0,786.8217,5.194001,0,11.44421,98.72692,0.9607557,0.9402957
"2026-04-01 01:30:04.1",49497270,-1.691118,-0.02275999,0.0774767,15.07428,0,786.7524,5.191564,0,11.44421,98.7254,0.9607463,0.9402753
"2026-04-01 01:30:04.2",49497271,-2.139133,0.0383397,-0.02842281,15.13503,0,786.5997,5.186696,0,11.44421,98.73049,0.9607597,0.9402874
"2026-04-01 01:30:04.3",49497272,-1.962187,0.1758762,0.05196147,15.15873,0,786.656,5.184216,0,11.44421,98.72809,0.9607909,0.9402998
"2026-04-01 01:30:04.4",49497273,-1.448039,-0.08799595,-0.06751683,15.12528,0,786.8479,5.193782,0,11.44421,98.72538,0.9607784,0.9403047
"2026-04-01 01:30:04.5",49497274,-1.462725,-0.06723947,0.1683795,15.06445,0,787.0222,5.196071,0,11.44421,98.72794,0.960767,0.9402809
"2026-04-01 01:30:04.6",49497275,-1.385308,0.05298026,-0.06082123,15.19504,0,786.5023,5.188204,0,11.44421,98.72751,0.9607732,0.940283
"2026-04-01 01:30:04.7",49497276,-1.355369,-0.2147081,-0.2411314,15.14992,0,786.7878,5.194913,0,11.44421,98.73016,0.9607601,0.9402835
"2026-04-01 01:30:04.8",49497277,-1.423014,0.06881394,-0.05308455,15.0647,0,787.0358,5.194381,0,11.44727,98.7278,0.960775,0.9403045
"2026-04-01 01:30:04.9",49497278,-1.3333,0.2910508,0.08149827,15.07728,0,787.0905,5.198959,0,11.44727,98.72547,0.9607763,0.9403073
"2026-04-01 01:30:05",49497279,-0.9234571,-0.311186,-0.0422328,15.11126,0,787.0639,5.196146,0,11.44727,98.7254,0.9608068,0.9403249
"2026-04-01 01:30:05.1",49497280,-1.272505,-0.4164117,-0.2155084,15.18686,0,786.3402,5.188801,0,11.44727,98.7267,0.9607467,0.9402947
"2026-04-01 01:30:05.2",49497281,-1.180054,-0.3012215,-0.2153096,15.2166,0,786.3715,5.185888,0,11.44727,98.7273,0.9607702,0.9402964
"2026-04-01 01:30:05.3",49497282,-1.261598,-0.5066984,-0.4860418,15.26005,0,785.9996,5.181337,0,11.44727,98.72692,0.9607725,0.9402852
"2026-04-01 01:30:05.4",49497283,-1.215901,-0.6929768,-0.5364029,15.25865,0,786.0979,5.1832,0,11.44727,98.72909,0.9607651,0.940285
"2026-04-01 01:30:05.5",49497284,-1.201423,-0.5276219,-0.5504431,15.25873,0,786.1495,5.179007,0,11.44727,98.72979,0.9607736,0.9402776
"2026-04-01 01:30:05.6",49497285,-1.252021,-0.4850732,-0.4658706,15.25339,0,786.0324,5.18262,0,11.44727,98.72815,0.9607635,0.9402922
"2026-04-01 01:30:05.7",49497286,-1.261327,-0.4973897,-0.4254586,15.2523,0,786.071,5.180825,0,11.44727,98.72604,0.9607515,0.9402739
"2026-04-01 01:30:05.8",49497287,-1.182897,-0.4836842,-0.5058917,15.268,0,785.8964,5.184173,0,11.45016,98.72701,0.9607632,0.9403078
"2026-04-01 01:30:05.9",49497288,-1.329505,-0.3851599,-0.4057879,15.2168,0,786.2548,5.182641,0,11.45016,98.72526,0.9607692,0.9402691
"2026-04-01 01:30:06",49497289,-1.282769,-0.5630904,-0.4529231,15.25783,0,786.168,5.184669,0,11.45016,98.72576,0.9607689,0.9402923
"2026-04-01 01:30:06.1",49497290,-1.284944,-0.4941962,-0.516344,15.24769,0,785.845,5.182115,0,11.45016,98.72564,0.9607579,0.9402885
"2026-04-01 01:30:06.2",49497291,-1.427616,-0.5654534,-0.2660671,15.24314,0,785.9105,5.18356,0,11.45016,98.72739,0.9607692,0.9403058
"2026-04-01 01:30:06.3",49497292,-1.449701,-0.5565784,-0.2030641,15.2164,0,786.1463,5.184662,0,11.45016,98.72599,0.9607704,0.9403049
"2026-04-01 01:30:06.4",49497293,-1.584472,-0.5682617,-0.4044668,15.20589,0,786.4583,5.186818,0,11.45016,98.72701,0.9607662,0.9403066
"2026-04-01 01:30:06.5",49497294,-1.693085,-0.7839909,-0.4032591,15.2499,0,786.0103,5.186371,0,11.45016,98.7258,0.9607562,0.9402965
"2026-04-01 01:30:06.6",49497295,-1.698139,-0.6363512,-0.3678474,15.18707,0,786.2131,5.18602,0,11.45016,98.72599,0.9607576,0.940282
"2026-04-01 01:30:06.7",49497296,-1.65879,-0.6376583,-0.2651766,15.19325,0,786.3201,5.18741,0,11.45016,98.72646,0.9607546,0.940274
"2026-04-01 01:30:06.8",49497297,-1.570276,-0.6626306,-0.2423029,15.19862,0,786.2566,5.186371,0,11.4527,98.72618,0.960779,0.9403088
