"TOA5","agrivoltaics2","CR6","9170","CR6.Std.14.01","CPU:agrivoltaics2_irgason_apogee_v1_1_00.cr6","44109","ts_data"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","diag_sonic","CO2","H2O","diag_irga","amb_tmpr","amb_press","CO2_sig_strgth","H2O_sig_strgth"
"TS","RN","m/s","m/s","m/s","C","arb","mg/m^3","g/m^3","arb","C","kPa","fraction","fraction"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-04-01 07:30:03.2",49713261,-0.08425944,0.5658504,0.4158896,8.518528,0,807.1019,5.317944,0,5.184509,99.20882,0.9594331,0.9394081
"2026-04-01 07:30:03.3",49713262,-0.1068277,0.1769288,0.4667102,8.516284,0,807.0247,5.316719,0,5.184509,99.20791,0.9594325,0.9394267
"2026-04-01 07:30:03.4",49713263,-0.1455784,0.09194727,0.3354365,8.521587,0,807.0515,5.320286,0,5.184509,99.21004,0.9594317,0.9394286
"2026-04-01 07:30:03.5",49713264,-0.2428113,0.4256598,-0.02810566,8.525243,0,806.9476,5.313396,0,5.184509,99.20925,0.9594201,0.9393969
"2026-04-01 07:30:03.6",49713265,-0.268917,0.3337184,-0.2349575,8.521987,0,806.9749,5.315647,0,5.184509,99.2085,0.9594207,0.9394179
"2026-04-01 07:30:03.7",49713266,-0.2531788,0.5711027,-0.09440682,8.524502,0,807.0574,5.31781,0,5.184509,99.20961,0.9594439,0.9394206
"2026-04-01 07:30:03.8",49713267,-0.414836,0.6696908,-0.1814928,8.522796,0,806.8748,5.318326,0,5.184509,99.21113,0.9594252,0.9394271
"2026-04-01 07:30:03.9",49713268,-0.9328834,0.3001854,0.1230492,8.512168,0,807.1152,5.317166,0,5.184509,99.2094,0.9594434,0.9394286
"2026-04-01 07:30:04",49713269,-0.9068611,0.739096,0.3454416,8.515074,0,807.009,5.315316,0,5.184509,99.20667,0.959442,0.9394273
"2026-04-01 07:30:04.1",49713270,-0.8297214,0.7861705,0.4698973,8.510509,0,806.9284,5.315568,0,5.184509,99.20953,0.9594349,0.9394221
"2026-04-01 07:30:04.2",49713271,-0.6677797,0.6057248,0.575069,8.530704,0,806.8771,5.313078,0,5.184509,99.2114,0.9594283,0.9394085
"2026-04-01 07:30:04.3",49713272,-0.7930343,0.8230338,0.508283,8.527326,0,806.7394,5.313159,0,5.184509,99.20925,0.9593955,0.9394132
"2026-04-01 07:30:04.4",49713273,-0.8688595,0.8979784,0.4290168,8.521955,0,806.8249,5.306012,0,5.184509,99.20938,0.9594272,0.9394094
"2026-04-01 07:30:04.5",49713274,-0.8218225,0.8890956,0.4556367,8.524365,0,807.0195,5.303022,0,5.184509,99.21042,0.9594339,0.9394168
"2026-04-01 07:30:04.6",49713275,-0.8045338,0.9341364,0.4720838,8.521297,0,806.9042,5.301945,0,5.184509,99.20751,0.9594304,0.9394071
"2026-04-01 07:30:04.7",49713276,-0.8629475,0.9996748,0.5688315,8.534745,0,806.915,5.306283,0,5.184723,99.20744,0.9594194,0.9394131
"2026-04-01 07:30:04.8",49713277,-0.4562636,1.053748,0.3081564,8.539504,0,806.5485,5.307922,0,5.184723,99.20975,0.9594049,0.93941
"2026-04-01 07:30:04.9",49713278,-0.4539858,1.003607,0.3146957,8.522496,0,806.8248,5.308873,0,5.184723,99.20875,0.9594193,0.9394191
"2026-04-01 07:30:05",49713279,-0.5659564,1.192972,0.3581354,8.528598,0,806.7082,5.306998,0,5.184723,99.20934,0.9594254,0.939424
"2026-04-01 07:30:05.1",49713280,-0.5551632,1.186856,0.6269205,8.533892,0,806.8646,5.301924,0,5.184723,99.21051,0.9594294,0.9394178
"2026-04-01 07:30:05.2",49713281,-0.7457294,1.068682,0.6026031,8.514115,0,806.5443,5.298616,0,5.184723,99.20981,0.9594417,0.9394467
"2026-04-01 07:30:05.3",49713282,-0.8419009,0.9773698,0.5557627,8.521053,0,806.7598,5.299515,0,5.184723,99.21046,0.9594347,0.9394287
"2026-04-01 07:30:05.4",49713283,-0.9543097,0.8807875,0.5011624,8.529791,0,806.649,5.297695,0,5.184723,99.21121,0.9594307,0.9394166
"2026-04-01 07:30:05.5",49713284,-0.9472022,1.044754,0.499526,8.523398,0,806.8511,5.299592,0,5.184723,99.2086,0.959445,0.9394335
"2026-04-01 07:30:05.6",49713285,-0.8356804,1.096204,0.3634543,8.520288,0,806.7886,5.29378,0,5.184723,99.21124,0.9594415,0.939407
"2026-04-01 07:30:05.7",49713286,-0.9311361,1.029841,0.1518438,8.522291,0,806.7778,5.301016,0,5.184845,99.21022,0.9594465,0.9394349
"2026-04-01 07:30:05.8",49713287,-0.9049758,1.031278,0.1280098,8.523566,0,806.7987,5.297884,0,5.184845,99.20998,0.9594414,0.9394322
"2026-04-01 07:30:05.9",49713288,-0.7429225,1.242965,-0.1721036,8.536264,0,806.672,5.294784,0,5.184845,99.20889,0.9594253,0.9394284
"2026-04-01 07:30:06",49713289,-0.7237631,1.376804,0.02104609,8.527708,0,806.8726,5.295424,0,5.184845,99.20934,0.9594575,0.9394264
"2026-04-01 07:30:06.1",49713290,-0.6835157,1.624194,0.1150024,8.523682,0,806.6773,5.289926,0,5.184845,99.2093,0.9594393,0.9394413
"2026-04-01 07:30:06.2",49713291,-0.8225918,1.30231,0.2766257,8.521355,0,806.4444,5.289499,0,5.184845,99.20901,0.9594326,0.9394215
"2026-04-01 07:30:06.3",49713292,-0.7420403,1.21815,0.3272157,8.525029,0,806.7567,5.28967,0,5.184845,99.21094,0.9594339,0.9394278
"2026-04-01 07:30:06.4",49713293,-0.6978806,1.245539,0.3281969,8.52192,0,806.628,5.292638,0,5.184845,99.20952,0.9594461,0.939448
"2026-04-01 07:30:06.5",49713294,-0.6781812,1.345354,0.3825047,8.525519,0,806.5789,5.292448,0,5.184845,99.21042,0.9594114,0.9394101
"2026-04-01 07:30:06.6",49713295,-0.3927886,1.399571,0.3794391,8.538027,0,806.8624,5.292925,0,5.184845,99.20812,0.9594703,0.9394472
"2026-04-01 07:30:06.7",49713296,-0.5430389,1.252293,0.2846714,8.531068,0,806.792,5.298298,0,5.184937,99.20795,0.9594668,0.9394674
