"TOA5","agrivoltaics2","CR6","9170","CR6.Std.14.01","CPU:agrivoltaics2_irgason_apogee_v1_1_00.cr6","44109","ts_data"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","diag_sonic","CO2","H2O","diag_irga","amb_tmpr","amb_press","CO2_sig_strgth","H2O_sig_strgth"
"TS","RN","m/s","m/s","m/s","C","arb","mg/m^3","g/m^3","arb","C","kPa","fraction","fraction"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-04-02 06:00:03.2",50523261,-2.692273,3.510069,0.9439012,4.792055,0,810.2443,3.776304,0,1.832916,98.93992,0.6788536,0.669726
"2026-04-02 06:00:03.3",50523262,-2.846009,3.37268,1.020255,4.762639,0,810.4796,3.710667,0,1.833374,98.93745,0.6789389,0.6696586
"2026-04-02 06:00:03.4",50523263,-3.033762,3.605318,1.03069,4.794334,0,810.6736,3.837051,0,1.833374,98.93499,0.6789135,0.6700431
"2026-04-02 06:00:03.5",50523264,-3.224364,3.752474,0.8777238,4.758091,0,809.6854,3.624918,0,1.833374,98.93515,0.6788108,0.669359
"2026-04-02 06:00:03.6",50523265,-2.572643,3.369228,0.5260555,4.839281,0,809.9738,3.703576,0,1.833374,98.93445,0.6789451,0.6697145
"2026-04-02 06:00:03.7",50523266,-3.575576,3.818724,0.420238,4.67799,0,810.5682,3.669503,0,1.833374,98.93333,0.6791019,0.6697401
"2026-04-02 06:00:03.8",50523267,-2.808677,4.05195,0.7728971,4.852285,0,789.1705,3.823775,0,1.833374,98.93358,0.6772238,0.6702058
"2026-04-02 06:00:03.9",50523268,-2.649705,3.606282,0.7586775,4.81812,0,809.3688,3.533699,0,1.833374,98.93565,0.6791049,0.6694027
"2026-04-02 06:00:04",50523269,-3.090232,2.761744,0.585967,4.86637,0,809.3566,3.776238,0,1.833374,98.93355,0.6790262,0.6699349
"2026-04-02 06:00:04.1",50523270,-2.981165,1.237479,1.049514,4.681103,0,810.397,3.666823,0,1.833374,98.93144,0.6791882,0.6697919
"2026-04-02 06:00:04.2",50523271,-2.69483,1.500774,0.6195238,4.780558,0,810.2358,3.873173,0,1.833374,98.92881,0.6790645,0.6704133
"2026-04-02 06:00:04.3",50523272,-2.179541,1.507512,-0.6479676,4.778502,0,810.1639,3.817955,0,1.833313,98.93226,0.6791457,0.6700709
"2026-04-02 06:00:04.4",50523273,-2.443902,1.337421,-0.1817788,4.787283,0,811.1402,3.813843,0,1.833313,98.93281,0.6792017,0.6701834
"2026-04-02 06:00:04.5",50523274,-1.985784,0.5680845,-0.1451441,4.67675,0,809.1042,3.793363,0,1.833313,98.94011,0.6791981,0.6700964
"2026-04-02 06:00:04.6",50523275,-1.629765,0.8331209,-0.2670768,4.731458,0,810.2867,3.86766,0,1.833313,98.93761,0.6793303,0.6705447
"2026-04-02 06:00:04.7",50523276,-1.067013,0.8481907,0.6699342,4.747635,0,811.2786,3.775923,0,1.833313,98.9391,0.6792528,0.6699672
"2026-04-02 06:00:04.8",50523277,-1.276752,0.737385,0.7536889,4.698987,0,811.0202,3.721147,0,1.833313,98.94016,0.6794203,0.6701101
"2026-04-02 06:00:04.9",50523278,-0.5120338,0.9309178,0.9235578,4.703005,0,810.6889,3.844681,0,1.833313,98.93633,0.6793102,0.6704195
"2026-04-02 06:00:05",50523279,-1.566078,2.586345,0.2699417,4.829728,0,810.9357,3.744111,0,1.833313,98.93834,0.6792913,0.6702801
"2026-04-02 06:00:05.1",50523280,-2.460021,2.702059,0.588475,4.776101,0,810.1462,3.774275,0,1.833313,98.93819,0.6794194,0.6704024
"2026-04-02 06:00:05.2",50523281,-2.022264,2.415302,1.435661,4.738639,0,808.4044,3.868035,0,1.833313,98.94045,0.6794546,0.6705956
"2026-04-02 06:00:05.3",50523282,-1.195845,2.8455,0.4188642,4.774682,0,822.3386,3.651982,0,1.833649,98.94094,0.6809328,0.6706694
"2026-04-02 06:00:05.4",50523283,-2.084619,2.956114,1.114951,4.795679,0,986.0712,12.82719,0,1.833649,98.93748,0.5955242,0.642922
"2026-04-02 06:00:05.5",50523284,-1.855422,2.834785,1.042804,4.76239,0,926.655,10.77817,0,1.833649,98.93947,0.6022074,0.6420543
"2026-04-02 06:00:05.6",50523285,-1.334643,3.405101,0.4004672,4.759633,0,880.7708,8.119169,0,1.833649,98.93964,0.6167153,0.6396725
"2026-04-02 06:00:05.7",50523286,-2.116523,3.507818,0.2838457,4.775998,0,862.4678,6.885085,0,1.833649,98.93976,0.6267126,0.6407564
"2026-04-02 06:00:05.8",50523287,-2.089013,3.347961,0.6324893,4.711195,0,852.2986,5.951979,0,1.833649,98.94025,0.6344417,0.6421671
"2026-04-02 06:00:05.9",50523288,-2.279925,3.225491,0.7229255,4.741807,0,843.3572,5.811168,0,1.833649,98.93884,0.6391314,0.6436515
"2026-04-02 06:00:06",50523289,-1.298207,3.279713,0.184092,4.760513,0,842.6541,5.7512,0,1.833649,98.9388,0.6398857,0.6437398
"2026-04-02 06:00:06.1",50523290,-1.707739,3.328566,0.7890992,4.821906,0,841.7648,5.804316,0,1.833649,98.94098,0.6400971,0.6440785
"2026-04-02 06:00:06.2",50523291,-2.579563,3.244666,1.06259,4.759043,0,840.1533,5.686181,0,1.833649,98.93941,0.6409113,0.6446308
"2026-04-02 06:00:06.3",50523292,-2.933708,3.641908,0.9063624,4.793172,0,827.9548,5.101892,0,1.834351,98.94094,0.6464156,0.6461367
"2026-04-02 06:00:06.4",50523293,-2.105545,3.488056,0.8971311,4.697328,0,953.052,13.04937,0,1.834351,98.93851,0.5834215,0.6273336
"2026-04-02 06:00:06.5",50523294,-2.008649,3.264268,0.7123334,4.767605,0,885.6412,9.130642,0,1.834351,98.93886,0.6015055,0.6267802
"2026-04-02 06:00:06.6",50523295,-1.72776,3.476881,0.2038466,4.75808,0,869.698,7.915999,0,1.834351,98.93906,0.6100366,0.6275746
"2026-04-02 06:00:06.7",50523296,-1.712769,3.464958,-0.2982986,4.79632,0,862.0692,7.331865,0,1.834351,98.94102,0.6150007,0.6283503
