"TOA5","agrivoltaics2","CR6","9170","CR6.Std.14.01","CPU:agrivoltaics2_irgason_apogee_v1_1_00.cr6","44109","ts_data"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","diag_sonic","CO2","H2O","diag_irga","amb_tmpr","amb_press","CO2_sig_strgth","H2O_sig_strgth"
"TS","RN","m/s","m/s","m/s","C","arb","mg/m^3","g/m^3","arb","C","kPa","fraction","fraction"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-04-02 18:30:03.5",50973264,-2.121872,2.226047,0.1372831,10.20943,0,1440.772,-2.475117,786433,5.21524,97.67673,0.2753995,0.2775551
"2026-04-02 18:30:03.6",50973265,-2.158989,2.231567,0.2398642,10.22162,0,1463.518,-2.171046,786433,5.21524,97.67623,0.2733883,0.2770021
"2026-04-02 18:30:03.7",50973266,-2.645864,2.443705,0.3479753,10.20398,0,1449.299,-2.092547,786433,5.21524,97.67461,0.276335,0.2798648
"2026-04-02 18:30:03.8",50973267,-1.942555,2.316307,-0.05176993,10.18581,0,1442.795,-2.672867,786433,5.21524,97.67661,0.2739498,0.27492
"2026-04-02 18:30:03.9",50973268,-1.730471,2.487544,-0.252351,10.18871,0,1452.191,-2.624128,786433,5.21524,97.67501,0.2728184,0.273771
"2026-04-02 18:30:04",50973269,-1.539192,2.675135,-0.2364083,10.21257,0,1451.802,-2.63847,786433,5.21524,97.67321,0.2733491,0.2746275
"2026-04-02 18:30:04.1",50973270,-1.761624,2.447535,-0.2649925,10.2207,0,1452.549,-2.620926,786433,5.217499,97.67503,0.2729395,0.2741311
"2026-04-02 18:30:04.2",50973271,-1.771812,1.948841,-0.01103256,10.1795,0,1455.214,-2.666299,786433,5.217499,97.67432,0.2728078,0.2738478
"2026-04-02 18:30:04.3",50973272,-1.484654,2.295662,-0.08657549,10.20635,0,1452.73,-2.72482,786433,5.217499,97.67499,0.2728491,0.2736115
"2026-04-02 18:30:04.4",50973273,-1.499546,2.104943,-0.03085773,10.19504,0,1462.246,-3.829627,786433,5.217499,97.67563,0.2729245,0.2677919
"2026-04-02 18:30:04.5",50973274,-1.34408,2.006435,-0.08734104,10.24199,0,1450.523,-2.484687,786433,5.217499,97.6785,0.2730508,0.2745776
"2026-04-02 18:30:04.6",50973275,-1.697896,1.79891,0.3418128,10.25353,0,1452.569,-2.599236,786433,5.217499,97.67906,0.2733615,0.2749425
"2026-04-02 18:30:04.7",50973276,-1.494455,1.821108,0.3309667,10.22617,0,1445.157,-2.615858,786433,5.217499,97.67986,0.2728286,0.2744119
"2026-04-02 18:30:04.8",50973277,-1.640995,1.953558,0.3168018,10.22729,0,1444.082,-2.454031,786433,5.217499,97.67733,0.2742505,0.2767312
"2026-04-02 18:30:04.9",50973278,-1.526759,1.839853,0.480125,10.27026,0,1438.448,-2.49683,786433,5.217499,97.67967,0.2748879,0.2768852
"2026-04-02 18:30:05",50973279,-1.552708,1.858606,0.6023007,10.24003,0,1438.109,-2.460989,786433,5.217499,97.67814,0.2752386,0.277411
"2026-04-02 18:30:05.1",50973280,-1.485837,2.032697,0.9204506,10.23984,0,1441.858,-2.367999,786433,5.219543,97.67628,0.2754405,0.2780022
"2026-04-02 18:30:05.2",50973281,-1.653607,2.135933,1.407663,10.30298,0,1439.606,-2.123164,786433,5.219543,97.67733,0.2775218,0.2804506
"2026-04-02 18:30:05.3",50973282,-1.593561,2.203942,0.2234244,10.34068,0,1423.802,-2.556777,786433,5.219543,97.67929,0.2803335,0.2797734
"2026-04-02 18:30:05.4",50973283,-1.031489,2.819609,-0.09277482,10.25008,0,1442.228,-2.619114,786433,5.219543,97.67935,0.2728767,0.2738432
"2026-04-02 18:30:05.5",50973284,-1.260447,2.777674,-0.05941822,10.26941,0,1427.524,-2.615059,786433,5.219543,97.67754,0.2742252,0.2755725
"2026-04-02 18:30:05.6",50973285,-0.9435999,2.922899,0.4394691,10.32902,0,1451.321,-2.650672,786433,5.219543,97.67748,0.2733577,0.2741266
"2026-04-02 18:30:05.7",50973286,-0.9477865,2.069365,0.3826727,10.32687,0,1443.422,-2.614877,786433,5.219543,97.67717,0.2737978,0.2749692
"2026-04-02 18:30:05.8",50973287,-1.188567,2.209955,0.2766816,10.34933,0,1450.261,-2.583663,786433,5.219543,97.67792,0.2735708,0.2749367
"2026-04-02 18:30:05.9",50973288,-1.386632,2.061026,0.3607254,10.32628,0,1452.979,-2.639367,786433,5.219543,97.6806,0.2733108,0.2742233
"2026-04-02 18:30:06",50973289,-1.233501,2.159946,0.2123778,10.36788,0,1448.695,-2.53598,786433,5.219543,97.68031,0.2736942,0.2752939
"2026-04-02 18:30:06.1",50973290,-0.8942834,2.385613,-0.2514659,10.27799,0,1451.866,-2.653696,786433,5.221924,97.67445,0.2731311,0.2739193
"2026-04-02 18:30:06.2",50973291,-0.9001416,2.683183,-0.3475864,10.31317,0,1449.318,-2.605227,786433,5.221924,97.67927,0.2735619,0.274824
"2026-04-02 18:30:06.3",50973292,-1.10526,2.547925,0.2085932,10.29484,0,1451.691,-2.653497,786433,5.221924,97.67653,0.2735783,0.2747836
"2026-04-02 18:30:06.4",50973293,-1.058714,2.485106,0.1796241,10.32512,0,1447.942,-2.693754,786433,5.221924,97.67675,0.2736099,0.2745539
"2026-04-02 18:30:06.5",50973294,-0.9877663,2.804786,0.1056491,10.32748,0,1451.957,-2.628723,786433,5.221924,97.67638,0.2733297,0.2744879
"2026-04-02 18:30:06.6",50973295,-1.029115,2.62182,-0.008333094,10.31931,0,1448.015,-2.628969,786433,5.221924,97.67428,0.2735039,0.2747365
"2026-04-02 18:30:06.7",50973296,-1.195855,2.722231,0.1327185,10.3353,0,1450.393,-2.600511,786433,5.221924,97.6765,0.2734056,0.2745883
"2026-04-02 18:30:06.8",50973297,-1.208314,2.758768,0.1373005,10.35267,0,1448.258,-2.632804,786433,5.221924,97.67583,0.2735771,0.2746664
"2026-04-02 18:30:06.9",50973298,-1.171157,2.834684,0.2528336,10.34472,0,1451.843,-2.595814,786433,5.221924,97.67522,0.2735004,0.2748003
